,z,qc,fs,u2
133830,0.00,0.000,,
133831,0.02,0.043,,0.6
133832,0.04,0.107,,0.6
133833,0.06,0.171,3.324,0.6
133834,0.08,0.235,4.281,0.6
133835,0.10,0.331,5.222,0.6
133836,0.12,0.405,5.145,0.6
133837,0.14,0.516,5.698,0.8
133838,0.16,0.638,5.844,1.1
133839,0.18,0.702,5.990,1.4
133840,0.20,0.902,6.671,1.3
133841,0.22,1.221,7.138,1.0
133842,0.24,1.493,7.431,1.4
133843,0.26,1.707,7.320,1.6
133844,0.28,1.921,7.079,1.7
133845,0.30,2.228,6.861,1.9
133846,0.32,2.578,6.479,2.1
133847,0.34,2.812,6.741,2.2
133848,0.36,3.016,7.129,2.1
133849,0.38,3.220,7.753,2.6
133850,0.40,3.348,8.471,3.3
133851,0.42,3.415,9.152,4.1
133852,0.44,3.484,10.245,4.6
133853,0.46,3.731,11.722,4.8
133854,0.48,4.123,12.816,4.5
133855,0.50,4.577,14.185,3.8
133856,0.52,4.936,15.439,3.7
133857,0.54,5.155,15.748,4.0
133858,0.56,5.373,16.595,4.1
133859,0.58,5.648,17.581,4.7
133860,0.60,5.918,18.965,5.2
133861,0.62,6.159,20.896,5.8
133862,0.64,6.530,23.340,5.8
133863,0.66,7.029,26.079,5.7
133864,0.68,7.355,28.395,5.6
133865,0.70,7.644,30.563,5.8
133866,0.72,7.862,32.615,6.3
133867,0.74,8.129,35.241,6.6
133868,0.76,8.612,38.052,6.7
133869,0.78,9.314,41.040,7.2
133870,0.80,9.899,43.509,7.4
133871,0.82,10.358,45.087,7.7
133872,0.84,10.654,45.671,8.0
133873,0.86,10.867,46.308,8.3
133874,0.88,11.274,46.935,8.4
133875,0.90,11.929,48.458,8.1
133876,0.92,12.605,51.560,7.9
133877,0.94,13.242,54.924,7.2
133878,0.96,13.843,59.149,7.2
133879,0.98,14.455,62.081,8.9
133880,1.00,15.003,64.109,9.1
133881,1.02,15.340,65.424,9.7
133882,1.04,15.595,67.275,9.9
133883,1.06,15.846,70.216,10.0
133884,1.08,16.109,74.023,10.1
133885,1.10,16.439,77.876,10.1
133886,1.12,16.624,80.462,9.6
133887,1.14,16.350,81.536,10.1
133888,1.16,15.853,81.048,11.1
133889,1.18,15.560,77.888,11.6
133890,1.20,15.449,74.046,12.1
133891,1.22,15.534,71.553,12.3
133892,1.24,15.798,70.157,12.5
133893,1.26,16.136,70.641,12.5
133894,1.28,16.707,72.841,12.2
133895,1.30,17.362,72.575,12.4
133896,1.32,17.979,79.509,12.5
133897,1.34,18.504,85.880,12.8
133898,1.36,19.003,91.620,13.0
133899,1.38,19.369,98.084,12.9
133900,1.40,19.693,103.436,13.5
133901,1.42,19.880,106.868,13.7
133902,1.44,19.897,110.295,14.0
133903,1.46,19.783,112.046,14.6
133904,1.48,19.701,112.733,14.6
133905,1.50,19.731,113.206,15.0
133906,1.52,19.850,113.699,14.8
133907,1.54,20.034,114.118,15.1
133908,1.56,20.172,114.188,15.1
133909,1.58,20.214,113.367,15.0
133910,1.60,20.224,112.434,15.4
133911,1.62,20.265,112.450,15.8
133912,1.64,20.399,111.002,16.7
133913,1.66,20.633,114.715,16.5
133914,1.68,20.846,116.299,17.1
133915,1.70,21.003,116.992,16.7
133916,1.72,21.040,117.429,17.2
133917,1.74,21.012,117.304,17.5
133918,1.76,20.993,116.945,17.4
133919,1.78,21.044,117.141,18.0
133920,1.80,21.154,117.476,18.6
133921,1.82,21.372,117.958,18.4
133922,1.84,21.664,119.515,17.0
133923,1.86,21.920,120.803,18.2
133924,1.88,22.031,121.145,18.3
133925,1.90,22.009,120.781,18.2
133926,1.92,21.970,120.174,19.6
133927,1.94,21.911,121.239,19.6
133928,1.96,21.912,122.404,20.5
133929,1.98,21.999,124.660,20.7
133930,2.00,22.063,127.584,21.7
133931,2.02,22.061,129.899,21.0
133932,2.04,21.944,129.405,20.1
133933,2.06,21.704,130.580,21.9
133934,2.08,21.439,129.939,21.8
133935,2.10,21.206,127.697,21.9
133936,2.12,21.038,124.270,22.1
133937,2.14,20.859,120.547,22.8
133938,2.16,20.830,117.833,24.0
133939,2.18,20.894,117.608,23.8
133940,2.20,21.093,117.333,24.0
133941,2.22,21.400,117.116,24.5
133942,2.24,21.740,117.047,24.5
133943,2.26,21.973,117.154,24.7
133944,2.28,22.129,117.663,25.5
133945,2.30,22.317,119.254,25.3
133946,2.32,22.615,122.586,25.6
133947,2.34,22.869,126.535,25.7
133948,2.36,23.087,129.177,26.1
133949,2.38,23.344,131.722,26.4
133950,2.40,23.552,136.199,27.1
133951,2.42,23.530,140.282,26.9
133952,2.44,23.464,141.738,26.8
133953,2.46,23.478,142.018,26.3
133954,2.48,23.364,141.579,26.7
133955,2.50,23.114,139.346,27.6
133956,2.52,22.856,133.871,28.2
133957,2.54,22.620,128.475,29.7
133958,2.56,22.421,124.690,30.2
133959,2.58,22.397,122.423,28.7
133960,2.60,22.500,120.722,29.2
133961,2.62,22.560,119.732,29.3
133962,2.64,22.326,120.509,29.8
133963,2.66,21.844,122.336,30.3
133964,2.68,21.462,122.341,31.4
133965,2.70,21.393,120.910,32.4
133966,2.72,21.486,120.768,33.0
133967,2.74,21.523,123.982,33.3
133968,2.76,21.573,128.697,32.6
133969,2.78,21.650,130.781,32.8
133970,2.80,21.541,132.900,32.2
133971,2.82,21.216,135.740,32.7
133972,2.84,20.772,137.336,33.8
133973,2.86,20.279,136.629,33.5
133974,2.88,19.848,134.190,34.4
133975,2.90,19.463,132.242,34.7
133976,2.92,19.058,130.245,34.6
133977,2.94,18.699,128.480,34.6
133978,2.96,18.476,126.658,34.8
133979,2.98,18.446,124.931,35.4
133980,3.00,18.440,124.094,34.6
133981,3.02,18.290,124.335,34.8
133982,3.04,18.031,123.151,35.5
133983,3.06,17.842,120.414,36.3
133984,3.08,17.768,117.052,36.8
133985,3.10,17.730,113.972,36.8
133986,3.12,17.698,113.165,35.9
133987,3.14,17.746,111.357,36.7
133988,3.16,17.833,111.484,36.5
133989,3.18,17.999,112.280,36.1
133990,3.20,18.229,113.866,36.5
133991,3.22,18.425,115.266,37.2
133992,3.24,18.567,115.327,38.0
133993,3.26,18.564,113.965,38.9
133994,3.28,18.503,113.112,39.3
133995,3.30,18.366,112.386,40.3
133996,3.32,18.388,111.938,39.8
133997,3.34,18.492,113.118,40.3
133998,3.36,18.514,115.243,40.9
133999,3.38,18.483,116.161,41.1
134000,3.40,18.431,116.611,41.1
134001,3.42,18.315,115.204,41.8
134002,3.44,18.175,111.806,42.0
134003,3.46,18.006,109.091,42.6
134004,3.48,17.778,108.158,42.7
134005,3.50,17.630,109.019,42.8
134006,3.52,17.667,109.054,42.8
134007,3.54,17.812,110.954,42.8
134008,3.56,17.795,112.723,43.2
134009,3.58,17.587,112.977,43.0
134010,3.60,17.286,111.483,43.7
134011,3.62,16.927,109.955,43.7
134012,3.64,16.656,108.529,44.5
134013,3.66,16.334,108.357,44.9
134014,3.68,16.035,109.441,44.8
134015,3.70,15.691,110.388,45.5
134016,3.72,15.292,110.093,46.1
134017,3.74,14.895,107.439,46.9
134018,3.76,14.598,105.715,46.4
134019,3.78,14.304,105.158,47.1
134020,3.80,14.061,104.806,47.2
134021,3.82,13.972,104.585,47.0
134022,3.84,13.680,102.739,47.4
134023,3.86,13.010,100.794,47.8
134024,3.88,12.261,96.792,43.1
134025,3.90,11.372,92.523,43.5
134026,3.92,10.482,88.985,48.6
134027,3.94,9.614,86.472,49.5
134028,3.96,8.891,83.457,50.8
134029,3.98,8.276,80.386,51.7
134030,4.00,7.793,77.748,52.5
134031,4.02,7.390,75.067,52.9
134032,4.04,7.099,71.913,52.3
134033,4.06,6.950,68.053,48.0
134034,4.08,6.799,64.451,43.3
134035,4.10,6.652,60.926,36.9
134036,4.12,6.510,56.807,32.9
134037,4.14,6.316,54.952,35.4
134038,4.16,6.132,54.702,44.4
134039,4.18,5.923,55.429,43.6
134040,4.20,5.733,55.362,42.7
134041,4.22,5.614,53.357,45.6
134042,4.24,5.568,52.083,46.4
134043,4.26,5.596,52.834,49.8
134044,4.28,5.645,54.328,48.9
134045,4.30,5.769,56.325,38.6
134046,4.32,5.883,57.986,40.9
134047,4.34,5.949,59.767,50.7
134048,4.36,6.002,61.693,52.3
134049,4.38,6.041,63.709,53.9
134050,4.40,6.140,64.859,52.1
134051,4.42,6.350,66.026,47.9
134052,4.44,6.467,65.976,42.6
134053,4.46,6.443,63.846,42.0
134054,4.48,6.396,61.240,48.1
134055,4.50,6.502,60.867,50.4
134056,4.52,6.787,58.995,45.8
134057,4.54,7.337,59.256,32.4
134058,4.56,8.101,60.687,5.9
134059,4.58,8.612,61.302,-18.0
134060,4.60,8.801,61.655,-41.7
134061,4.62,8.825,60.200,-31.0
134062,4.64,8.828,59.156,8.1
134063,4.66,9.034,59.388,18.6
134064,4.68,9.479,60.981,18.2
134065,4.70,10.237,63.968,49.1
134066,4.72,11.275,67.403,54.9
134067,4.74,12.260,70.534,55.0
134068,4.76,13.013,73.668,52.6
134069,4.78,13.609,77.075,54.3
134070,4.80,14.117,81.252,54.3
134071,4.82,14.526,85.854,53.6
134072,4.84,14.826,90.784,51.2
134073,4.86,14.990,94.804,50.1
134074,4.88,15.127,98.403,50.0
134075,4.90,15.220,102.631,51.3
134076,4.92,15.284,105.660,55.0
134077,4.94,15.255,106.229,56.6
134078,4.96,15.075,103.637,57.3
134079,4.98,14.787,97.480,57.7
134080,5.00,14.588,96.386,58.4
134081,5.02,14.483,96.239,58.7
134082,5.04,14.371,97.096,58.2
134083,5.06,14.305,98.493,53.2
134084,5.08,14.258,98.103,50.0
134085,5.10,14.210,95.162,47.3
134086,5.12,14.069,94.175,48.2
134087,5.14,13.855,94.630,48.6
134088,5.16,13.665,94.476,49.8
134089,5.18,13.614,93.429,50.8
134090,5.20,13.624,93.239,50.3
134091,5.22,13.600,93.568,51.8
134092,5.24,13.559,93.169,53.5
134093,5.26,13.559,92.716,53.7
134094,5.28,13.611,91.334,54.8
134095,5.30,13.555,89.940,56.6
134096,5.32,13.429,89.390,56.5
134097,5.34,13.319,89.393,57.4
134098,5.36,13.294,89.915,58.0
134099,5.38,13.509,88.756,58.1
134100,5.40,13.940,86.046,57.3
134101,5.42,14.226,83.356,56.0
134102,5.44,14.409,83.812,52.4
134103,5.46,14.594,85.964,45.9
134104,5.48,14.829,88.443,44.6
134105,5.50,15.012,90.832,47.5
134106,5.52,15.070,92.581,48.9
134107,5.54,14.953,92.436,50.8
134108,5.56,14.754,90.789,52.8
134109,5.58,14.556,88.204,57.7
134110,5.60,14.457,85.286,61.9
134111,5.62,14.514,81.294,62.8
134112,5.64,14.695,78.415,63.7
134113,5.66,14.979,77.908,64.1
134114,5.68,15.378,81.003,64.5
134115,5.70,15.805,86.282,64.6
134116,5.72,16.180,88.556,64.6
134117,5.74,16.482,95.364,64.6
134118,5.76,16.700,98.320,64.5
134119,5.78,16.790,99.825,64.7
134120,5.80,16.717,100.699,65.2
134121,5.82,16.573,99.650,65.5
134122,5.84,16.519,96.710,66.0
134123,5.86,16.473,93.803,66.3
134124,5.88,16.406,92.143,66.7
134125,5.90,16.333,93.285,66.8
134126,5.92,16.282,96.604,67.0
134127,5.94,16.357,98.815,66.5
134128,5.96,16.484,100.718,66.4
134129,5.98,16.472,101.997,66.4
134130,6.00,16.273,101.905,66.9
134131,6.02,16.043,100.924,67.5
134132,6.04,15.897,99.958,68.0
134133,6.06,15.836,98.013,68.5
134134,6.08,15.868,95.928,69.2
134135,6.10,15.866,94.292,69.5
134136,6.12,15.757,93.467,69.3
134137,6.14,15.652,92.638,69.4
134138,6.16,15.639,92.171,69.2
134139,6.18,15.697,92.554,69.1
134140,6.20,15.819,94.245,69.4
134141,6.22,15.952,96.161,69.6
134142,6.24,16.093,97.844,70.0
134143,6.26,16.097,99.057,70.5
134144,6.28,15.869,99.878,71.0
134145,6.30,15.528,99.023,71.4
134146,6.32,15.233,97.251,71.6
134147,6.34,14.941,95.507,71.4
134148,6.36,14.734,94.069,71.8
134149,6.38,14.627,93.357,71.9
134150,6.40,14.551,92.540,72.0
134151,6.42,14.453,90.847,72.4
134152,6.44,14.357,88.089,72.7
134153,6.46,14.324,84.467,72.9
134154,6.48,14.338,85.129,72.9
134155,6.50,14.414,85.588,73.4
134156,6.52,14.447,84.926,73.2
134157,6.54,14.447,84.264,73.5
134158,6.56,14.390,84.289,73.5
134159,6.58,14.348,85.297,73.9
134160,6.60,14.350,86.181,74.3
134161,6.62,14.365,88.053,74.4
134162,6.64,14.351,90.004,74.5
134163,6.66,14.339,91.481,74.7
134164,6.68,14.313,92.089,75.4
134165,6.70,14.278,91.657,75.7
134166,6.72,14.268,90.656,75.9
134167,6.74,14.261,89.031,76.3
134168,6.76,14.344,87.282,76.4
134169,6.78,14.480,84.995,76.3
134170,6.80,14.628,83.768,76.3
134171,6.82,14.722,82.743,76.5
134172,6.84,14.805,82.870,76.5
134173,6.86,14.840,84.682,76.6
134174,6.88,14.889,86.227,76.7
134175,6.90,15.033,88.023,76.6
134176,6.92,15.164,89.490,75.2
134177,6.94,15.228,90.673,76.9
134178,6.96,15.208,91.165,77.8
134179,6.98,15.297,89.989,77.7
134180,7.00,15.437,88.860,78.3
134181,7.02,15.684,88.010,78.7
134182,7.04,15.952,88.134,78.7
134183,7.06,16.301,88.293,79.2
134184,7.08,16.575,88.992,79.1
134185,7.10,16.785,89.668,79.1
134186,7.12,16.986,91.531,78.8
134187,7.14,17.145,94.233,79.0
134188,7.16,17.217,96.979,79.2
134189,7.18,17.236,99.676,78.9
