,id,type,x,y,water_depth
2,HKW001-PCPT,SCP,558223.13,5850718.46,27.00
3,HKW002-PCPT,SCP,558511.00,5850097.20,27.00
4,HKW002-SCPT,SCP,558507.12,5850094.48,28.00
5,HKW002-TCPT,SCP,558507.57,5850096.77,28.00
6,HKW003-PCPT,SCP,557604.13,5849629.04,27.00
7,HKW004-PCPT,SCP,558778.71,5849405.37,27.00
8,HKW004-TCPT,SCP,558783.02,5849403.65,27.00
9,HKW005-PCPT,SCP,556171.27,5848680.20,27.00
10,HKW006-PCPT,SCP,555642.64,5847968.25,28.00
11,HKW006-SCPT,SCP,555639.40,5847963.33,28.00
12,HKW006-TCPT,SCP,555640.75,5847960.42,28.00
13,HKW007-PCPT,SCP,558329.30,5847043.76,27.00
14,HKW008-PCPT,SCP,556120.88,5846241.53,28.00
15,HKW009-PCPT,SCP,556935.07,5846082.61,29.00
16,HKW010-PCPT,SCP,557711.91,5845935.36,28.00
17,HKW011-PCPT,SCP,558470.47,5845797.47,28.00
18,HKW012-PCPT,SCP,555646.81,5845927.68,28.00
19,HKW013-PCPT,SCP,555494.45,5845143.16,29.00
20,HKW014-PCPT,SCP,554578.85,5844503.88,29.00
21,HKW014-SCPT-A,SCP,554581.39,5844503.18,29.00
22,HKW014-TCPT,SCP,554575.89,5844503.22,29.00
23,HKW015-PCPT,SCP,555345.96,5844357.51,28.00
24,HKW016-PCPT,SCP,557342.23,5843976.44,29.00
25,HKW016-PCPT-A,SCP,557346.46,5843973.23,29.00
26,HKW016-SCPT,SCP,557345.05,5843969.96,29.00
27,HKW016-TCPT,SCP,557345.67,5843975.66,29.00
28,HKW017-PCPT,SCP,553332.05,5844332.63,29.00
29,HKW018-PCPT,SCP,555221.53,5843549.65,29.00
30,HKW019-PCPT-A,SCP,555595.63,5843497.22,27.00
31,HKW019-PCPT-B,SCP,555593.59,5843496.72,27.00
32,HKW020-PCPT,SCP,555050.85,5842785.18,30.00
33,HKW020-PCPT-A,SCP,555042.66,5842785.56,30.00
34,HKW021-PCPT,SCP,552610.45,5842845.24,28.00
